Track Code;Rev.;Order Number;Line;REDTag;Short Tag;Cell;Reason;Pass Zone;PickInterrupted;Zone
C7CFKH3;0;361268143;11;YES;NO;1;Pass Zone;1;0;5
C8PFKH3;0;20449670;11;NO;NO;1;Pass Zone;1;0;5
C9HFKH3;0;113895837;15;NO;NO;0;Pass Zone;1;0;5
CBBFKH3;0;273664634;11;YES;NO;2;Pass Zone;1;0;5
CJ1FKH3;0;223417669;15;YES;NO;0;Pass Zone;1;0;5
CJDFKH3;0;20448523;11;NO;NO;1;Pass Zone;1;0;5
CMMFKH3;0;273635358;11;YES;NO;1;Pass Zone;1;0;5
CP5FKH3;0;20448536;11;NO;NO;1;Pass Zone;1;0;5
CPMFKH3;0;273635356;11;NO;NO;1;Pass Zone;1;0;5
CQMFKH3;0;273635356;11;YES;NO;1;Pass Zone;1;0;5
CQNGKH3;0;20449677;11;NO;NO;1;Pass Zone;1;0;5
CW9FKH3;0;273664638;11;NO;NO;1;Pass Zone;1;0;5
CXNGKH3;0;20449682;11;NO;NO;1;Pass Zone;1;0;5
CZ4FKH3;0;671594855;11;YES;NO;2;Pass Zone;1;0;5
CZ4FKH3;0;671594855;11;YES;NO;2;Pick Interrupted;0;1;3
D15FKH3;0;671594855;11;YES;NO;2;Pass Zone;1;0;5
D1BFKH3;0;273664623;11;NO;NO;1;Pass Zone;1;0;5
D27FKH3;0;252187900;11;YES;NO;2;Pass Zone;1;0;5
D6GCKH3;0;182012169;11;NO;NO;1;Pick Interrupted;0;1;13
DGHFKH3;0;172366397;11;NO;NO;1;Pass Zone;1;0;5
DHPGKH3;0;20497230;15;NO;NO;0;Pass Zone;1;0;5
DMMFKH3;0;273635356;11;NO;NO;1;Pass Zone;1;0;5
DMNGKH3;0;20449672;11;NO;NO;1;Pass Zone;1;0;5
DS4FKH3;0;432453064;15;NO;NO;0;Pass Zone;1;0;5
DTFFKH3;0;361268190;11;NO;NO;2;Pass Zone;1;0;5
DZ4FKH3;0;671594855;11;YES;NO;2;Pass Zone;1;0;5
DZ8FKH3;0;163076722;15;YES;NO;0;Pass Zone;1;0;5
F09FKH3;0;662875022;15;YES;NO;0;Pass Zone;1;0;5
F6GCKH3;0;163081166;11;NO;NO;1;Pass Zone;1;0;5
F7GFKH3;0;172370278;15;NO;NO;0;Pass Zone;1;0;5
F8HFKH3;0;163063652;11;YES;NO;1;Pass Zone;1;0;5
F9CFKH3;0;361268147;11;YES;NO;1;Pass Zone;1;0;5
FBHFKH3;0;182009695;15;NO;NO;0;Pass Zone;1;0;5
FBPGKH3;0;20450186;15;NO;NO;0;Pass Zone;1;0;5
FCMFKH3;0;163083508;15;YES;NO;0;Pass Zone;1;0;5
FD9FKH3;0;273663733;15;NO;NO;0;Pass Zone;1;0;5
FGGFKH3;0;191846773;15;NO;NO;0;Pass Zone;1;0;5
FGHFKH3;0;163062140;11;NO;NO;1;Pass Zone;1;0;5
FJ1FKH3;0;132084832;15;YES;NO;0;Pass Zone;1;0;5
FM1FKH3;0;264793037;11;NO;NO;2;Pass Zone;1;0;5
FMNGKH3;0;20449672;11;NO;NO;1;Pass Zone;1;0;5
FMSGKH3;0;223414864;11;NO;NO;1;Pass Zone;1;0;5
FXNGKH3;0;20449682;11;NO;NO;1;Pass Zone;1;0;5
FY1FKH3;0;113897268;15;YES;NO;0;Pass Zone;1;0;5
FY8FKH3;0;172365367;15;NO;NO;0;Pass Zone;1;0;5
G4GFKH3;0;432461551;15;NO;NO;0;Pass Zone;1;0;5
G7NFKH3;1;471459688;11;NO;NO;2;Pass Zone;1;0;5
GH5FKH3;0;273664320;11;YES;NO;2;Pass Zone;1;0;5
GJ9FKH3;0;671596302;15;YES;NO;0;Pass Zone;1;0;5
GQLFKH3;0;273661053;15;NO;NO;0;Pass Zone;1;0;5
GQNFKH3;0;273657319;11;NO;NO;1;Pass Zone;1;0;5
GVNFKH3;0;273664787;11;YES;NO;1;Pass Zone;1;0;5
GW8FKH3;0;163062849;11;NO;NO;2;Pass Zone;1;0;5
GXLFKH3;0;273661057;15;NO;NO;0;Pass Zone;1;0;5
GYBFKH3;0;361268127;11;NO;NO;1;Pass Zone;1;0;5
GZ7FKH3;0;163022120;15;NO;NO;0;Pass Zone;1;0;5
H02FKH3;0;172365548;11;NO;NO;1;Pass Zone;1;0;5
H27FKH3;0;252187900;11;YES;NO;2;Pass Zone;1;0;5
H2GFKH3;0;191846903;15;YES;NO;0;Pass Zone;1;0;5
H38FKH3;0;662866931;15;NO;NO;0;Pass Zone;1;0;5
H4KFKH3;0;252187899;11;NO;NO;1;Pass Zone;1;0;5
H8JFKH3;0;273664635;11;YES;NO;1;Pass Zone;1;0;5
H8MFKH3;0;163056751;11;NO;NO;1;Pass Zone;1;0;5
H8PGKH3;0;20450183;15;NO;NO;0;Pass Zone;1;0;5
H9RGKH3;0;20450234;15;NO;NO;0;Pass Zone;1;0;5
HDGFKH3;1;671516218;11;YES;NO;1;Pass Zone;1;0;5
HJ9FKH3;0;671596319;15;YES;NO;0;Pass Zone;1;0;5
HJKFKH3;0;163081945;11;NO;NO;1;Pass Zone;1;0;5
HKTGKH3;0;361262109;15;NO;NO;0;Pass Zone;1;0;5
HMFFKH3;0;361268187;11;NO;NO;1;Pass Zone;1;0;5
HMJFKH3;0;273664641;11;NO;NO;1;Pass Zone;1;0;5
HP8FKH3;0;361264335;11;YES;NO;2;Pass Zone;1;0;5
HZHFKH3;0;273664626;11;NO;NO;1;Pass Zone;1;0;5
HZLFKH3;0;273661057;15;NO;NO;0;Pass Zone;1;0;5
J0KFKH3;0;252187896;11;NO;NO;1;Pass Zone;1;0;5
J1MFKH3;0;671556465;11;NO;NO;1;Pass Zone;1;0;5
J3CFKH3;0;361268148;11;NO;NO;1;Pass Zone;1;0;5
J5QGKH3;0;616420560;15;YES;NO;0;Pass Zone;1;0;5
J6PGKH3;0;20449952;15;YES;NO;0;Pass Zone;1;0;5
J75FKH3;0;172365382;15;YES;NO;0;Pass Zone;1;0;5
JKMFKH3;0;273635358;11;NO;NO;1;Pass Zone;1;0;5
JY8FKH3;0;172365367;15;NO;NO;0;Pass Zone;1;0;5
JZBFKH3;0;361268127;11;NO;NO;1;Pass Zone;1;0;5
217;15
